id,Bar,Street,City,State,Phone,License,Close,Open
211,"SANTO POLLO ","4720 Odio. Rd.",Salem,Oregon,735-309-3525,348034-4278,20:00:00,05:00:00
212,"THELO GREEK GRILL","P.O. Box 601, 8373 Habitant Rd.","Newport News",Virginia,693-551-4125,577421-5163,18:00:00,03:00:00
213,"EL SOL SALVADOREAN & MEXICAN REST.","9112 Dolor. Rd.",Rochester,Minnesota,168-369-7008,519829-9801,20:00:00,04:00:00
214,"The DrumLeyton","631-2123 Luctus Rd.","Idaho Falls",Idaho,152-578-5376,855299-2110,21:00:00,04:00:00
215,"The Allsop Arms","P.O. Box 109, 2730 Mauris. Av.",Lexington,"New Jersey",584-413-5816,705990-6557,17:00:00,03:00:00
216,"St. James Tavern","660-7455 Hendrerit. Rd.","South Portland",Maine,993-335-0361,454665-2704,22:00:00,03:00:00
217,CARAVAN,"2987 Eget St.",Gulfport,Mississippi,453-583-8511,034340-6674,21:00:00,03:00:00
218,"CLUB 175","P.O. Box 339, 7785 Donec Street",Richmond,Virginia,151-527-4166,843001-5555,19:00:00,03:00:00
219,"IL PORTO","250-4384 Class St.",Gary,Indiana,261-577-0462,657698-5615,22:00:00,01:00:00
220,"Coconut Willie's Cocktail Lounge","P.O. Box 965, 2650 Arcu. Rd.","South Portland",Maine,353-473-0574,103228-2632,17:00:00,03:00:00
221,Eulipia,"2660 A St.",Anchorage,Alaska,136-269-8700,836692-8532,22:00:00,05:00:00
222,"The Ship and Whale","Ap #520-9372 Massa. Street",Cincinnati,Ohio,394-479-8322,986328-7539,19:00:00,05:00:00
223,"Gecko Grill","Ap #782-6518 Magna. Road","Des Moines",Iowa,400-379-6326,446219-2628,22:00:00,01:00:00
224,SILVER,"P.O. Box 737, 8052 Mauris St.",Columbia,Missouri,903-252-7638,716079-8588,22:00:00,04:00:00
225,"Giza Hookah Lounge","254-2731 Vivamus Av.",Reno,Nevada,278-549-5941,309407-2687,18:00:00,04:00:00
226,"Hedley Club","385 Lorem St.",Savannah,Georgia,957-220-3108,627764-8355,22:00:00,01:00:00
227,"Ninetyeight Bar & Lounge","Ap #563-3898 Ut Av.",Knoxville,Tennessee,236-870-3223,023694-3510,21:00:00,02:00:00
228,CUBANO'S,"P.O. Box 299, 7555 Eu Road",Dover,Delaware,848-384-0110,284560-8641,21:00:00,01:00:00
229,"BACCHUS OF LEBANON","Ap #187-8957 Donec Avenue","St. Petersburg",Florida,641-192-0100,397549-9173,20:00:00,01:00:00
230,"CHAPALA RESTAURANT","996-3982 Vel St.",Flint,Michigan,668-723-9976,659157-0376,18:00:00,03:00:00
231,"LONGHORN STEAKHOUSE","P.O. Box 395, 5545 Phasellus Av.","Sterling Heights",Michigan,950-833-1601,039890-9002,20:00:00,05:00:00
232,"OUTTA THE WAY CAFE","Ap #303-5792 Duis Av.",Reading,Pennsylvania,528-721-5647,993879-6407,17:00:00,04:00:00
233,"NORMANDIE FARM RESTAURANT","134-8207 Cum Avenue",Bellevue,"South Dakota",957-306-9416,604511-6289,22:00:00,05:00:00
234,"CAVA RESTAURANT","700-8594 Varius Street",Gulfport,Mississippi,639-397-3043,727659-2461,22:00:00,05:00:00
235,"THAI AT SILVER SPRING","P.O. Box 237, 9320 Amet, Street","Overland Park",Kansas,345-256-8575,887258-6824,18:00:00,02:00:00
236,"MINERVA INDIAN CUISINE","9732 Auctor St.",Harrisburg,Pennsylvania,421-314-3970,636663-6196,22:00:00,02:00:00
237,"LA MADELEINE","2848 Tortor Rd.",Fayetteville,Arkansas,693-408-7304,027174-2033,22:00:00,02:00:00
238,"HUNAN NIGHT","289-1462 Felis. Avenue",Hartford,Connecticut,838-232-6728,619242-8172,22:00:00,05:00:00
239,"THE QUARRY HOUSE TAVERN","Ap #928-348 Lorem St.","Pike Creek",Delaware,534-711-3654,906351-1597,22:00:00,04:00:00
240,"MIDDLE EAST CUISINE","P.O. Box 205, 6119 Vel Ave",Boise,Idaho,211-835-5855,682135-2579,21:00:00,01:00:00
241,"BENIHANA OF TOKYO","270 Sed Street","Baton Rouge",Louisiana,432-486-6936,746233-3159,21:00:00,03:00:00
242,CANOPY,"9311 Tellus. Rd.",Butte,Montana,393-519-2268,993738-4536,21:00:00,02:00:00
243,"LOS COBANOS RESTAURANT","P.O. Box 449, 3568 Mi, Road",Colchester,Vermont,895-684-3003,312938-5286,19:00:00,02:00:00
244,"BANGKOK GARDEN RESTAURANT","621-4549 Facilisi. St.",Vancouver,Washington,576-593-7602,577007-7120,20:00:00,05:00:00
245,"AMALFI RISTORANTE","P.O. Box 396, 3881 Neque. St.",Shreveport,Louisiana,119-426-2300,128083-8887,20:00:00,04:00:00
246,"The Chandos Arms","5906 Aliquet, Ave",Austin,Texas,227-648-0017,072616-5319,21:00:00,02:00:00
247,"Brass Monkey","P.O. Box 152, 3769 Placerat. Street",Jacksonville,Florida,228-130-4511,704506-9023,21:00:00,05:00:00
248,"Daly's Wine Bar","225-7249 Proin Ave",Honolulu,Hawaii,415-553-0432,686766-4572,17:00:00,04:00:00
249,"The Italian Job","3577 Proin Rd.",Milwaukee,Wisconsin,791-785-2090,664654-3022,19:00:00,01:00:00
250,"TAIPEI TOKYO","P.O. Box 174, 1334 Mi Avenue",Omaha,"South Dakota",235-364-5704,147454-4051,20:00:00,05:00:00
